editor,issue_date,price,test,title,url
JBC,2017-11-18,64.90,"Sábado 18 Novembro, 2017",Cavaleiros do Zodíaco Kanzenban Vol.06 Edição Definitiva,http://www.comix.com.br/product_info.php?products_id=30687
JBC,2017-11-18,14.90,"Sábado 18 Novembro, 2017",My Hero Academia nº 07,http://www.comix.com.br/product_info.php?products_id=30686
JBC,2017-11-18,39.90,"Sábado 18 Novembro, 2017",Battle Angel Alita nº 01,http://www.comix.com.br/product_info.php?products_id=30685
JBC,2017-11-18,15.90,"Sábado 18 Novembro, 2017",Coin Laundry Lady volume único,http://www.comix.com.br/product_info.php?products_id=30684
JBC,2017-11-18,16.90,"Sábado 18 Novembro, 2017",Samurai 7 nº 02,http://www.comix.com.br/product_info.php?products_id=30683
Devir,2017-11-18,96.00,"Sábado 18 Novembro, 2017",Klaus,http://www.comix.com.br/product_info.php?products_id=30682
Panini,2017-11-17,9.90,"Sexta 17 Novembro, 2017",Batman Grandes Astros:(Renascimento) nº 6 (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30681
Panini,2017-11-17,7.50,"Sexta 17 Novembro, 2017",Action Comics Superman (Renascimento) nº 8,http://www.comix.com.br/product_info.php?products_id=30680
JBC,2017-11-10,14.90,"Sexta 10 Novembro, 2017",Fort of Apocalypse nº 08,http://www.comix.com.br/product_info.php?products_id=30598
Panini,2017-11-10,28.90,"Sexta 10 Novembro, 2017",Thanos: Final Infinito,http://www.comix.com.br/product_info.php?products_id=30596
Panini,2017-11-17,15.00,"Sexta 17 Novembro, 2017",Liga da Justiça Vs. Esquadrão Suicida (Renascimento) nº 02(Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30679
Editora Mino,2017-11-17,79.90,"Sexta 17 Novembro, 2017",Formigueiro (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30676
Panini,2017-11-17,23.90,"Sexta 17 Novembro, 2017",O Xerife Da Babilonia: Pow. Pow. Pow. Vol 02 (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30673
Panini,2017-11-17,23.90,"Sexta 17 Novembro, 2017",Sala Imaculada (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30672
Panini,2017-11-17,29.90,"Sexta 17 Novembro, 2017",Homem-Animal: Praga Vermelha (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30671
Mythos,2017-11-16,84.90,"Quinta 16 Novembro, 2017",Red Skin - Bem-Vinda à América,http://www.comix.com.br/product_info.php?products_id=30670
Editora Mino,2017-11-16,79.90,"Quinta 16 Novembro, 2017",O que Havia na Caixa de Sam Dora? E Outras Histórias,http://www.comix.com.br/product_info.php?products_id=30669
Panini,2017-11-10,95.00,"Sexta 10 Novembro, 2017",Demolidor - Decálogo,http://www.comix.com.br/product_info.php?products_id=30595
Panini,2017-11-10,28.90,"Sexta 10 Novembro, 2017",Novos Vingadores - Mundos Paralelos,http://www.comix.com.br/product_info.php?products_id=30594
Mythos,2017-11-10,89.90,"Sexta 10 Novembro, 2017",Conan - A Estrada dos Reis (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30593
Mythos,2017-11-10,64.90,"Sexta 10 Novembro, 2017",Verão Negro,http://www.comix.com.br/product_info.php?products_id=30591
Mythos,2017-11-10,8.90,"Sexta 10 Novembro, 2017",Tex nº 576,http://www.comix.com.br/product_info.php?products_id=30590
Mythos,2017-11-10,29.90,"Sexta 10 Novembro, 2017",Tex Em Cores Nº 34,http://www.comix.com.br/product_info.php?products_id=30589
Mythos,2017-11-10,27.90,"Sexta 10 Novembro, 2017",Tex - Edição Histórica nº 102,http://www.comix.com.br/product_info.php?products_id=30588
Pixel Art Book,2017-11-15,39.90,"Quarta 15 Novembro, 2017","Coleção HQs Classicas O Fantasma Vai a Guerra,O Tesouro do Fantasma E Suzie Box ",http://www.comix.com.br/product_info.php?products_id=30633
Mythos,2017-11-10,9.90,"Sexta 10 Novembro, 2017",Tex Coleção nº 440,http://www.comix.com.br/product_info.php?products_id=30587
Mythos,2017-11-10,23.90,"Sexta 10 Novembro, 2017",J. Kendall - Aventuras de uma Criminóloga nº 131,http://www.comix.com.br/product_info.php?products_id=30586
Independente,2017-11-10,15.00,"Sexta 10 Novembro, 2017",Noite Feliz - o gorro,http://www.comix.com.br/product_info.php?products_id=30585
Independente,2017-11-10,20.00,"Sexta 10 Novembro, 2017",1917 Revolução Russa Em Quadrinhos,http://www.comix.com.br/product_info.php?products_id=30584
Independente,2017-11-10,15.00,"Sexta 10 Novembro, 2017",Mestre do Terror nº 67,http://www.comix.com.br/product_info.php?products_id=30583
Independente,2017-11-10,18.00,"Sexta 10 Novembro, 2017",Anexia é Um Paraíso,http://www.comix.com.br/product_info.php?products_id=30582
